AC_Code|Candidate|Constituency|EVM Votes|OSN|Party|Percent of Votes|Postal Votes|State|State_Code|Total of Votes
1|KISHORE CHANDRA DEO|Aruku |336163|1|Telugu Desam|31.46|1938|Andhra Pradesh|S01|338101
1|Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY|Aruku |17578|2|Bharatiya Janata Party|1.66|289|Andhra Pradesh|S01|17867
1|GODDETI. MADHAVI|Aruku |557561|3|Yuvajana Sramika Rythu Congress Party|52.32|4629|Andhra Pradesh|S01|562190
1|SHRUTI DEVI VYRICHERLA|Aruku |17656|4|Indian National Congress|1.65|74|Andhra Pradesh|S01|17730
1|GANGULAIAH VAMPURU.|Aruku |42245|5|Janasena Party|3.98|549|Andhra Pradesh|S01|42794
1|SWAMULA. SUBRAHMANYAM|Aruku |4705|6|Jana Jagruti Party|0.44|5|Andhra Pradesh|S01|4710
1|ANUMULA VAMSIKRISHNA|Aruku |10211|7|Independent|0.95|29|Andhra Pradesh|S01|10240
1|KANGALA BALUDORA|Aruku |13810|8|Independent|1.29|16|Andhra Pradesh|S01|13826
1|NARAVA SATYAVATHI|Aruku |11231|9|Independent|1.05|5|Andhra Pradesh|S01|11236
1|BIDDIKA RAMAYYA.|Aruku |7863|10|Independent|0.73|4|Andhra Pradesh|S01|7867
1|NOTA|Aruku |47955|11|None of the Above|4.46|22|Andhra Pradesh|S01|47977
10|KOTAGIRI SRIDHAR|Eluru |672834|1|Yuvajana Sramika Rythu Congress Party|50.97|3975|Andhra Pradesh|S01|676809
10|CHINNAM RAMA KOTAYYA|Eluru |8317|2|Bharatiya Janata Party|0.63|95|Andhra Pradesh|S01|8412
10|JETTI GURUNADHA RAO|Eluru |20284|3|Indian National Congress|1.53|94|Andhra Pradesh|S01|20378
10|MAGANTTI VENKATESWARA RAO BABU|Eluru |509549|4|Telugu Desam|38.47|1335|Andhra Pradesh|S01|510884
10|CHINA VENKATA SURYANARAYANA JOSYULA|Eluru |2932|5|Pyramid Party of India|0.22|3|Andhra Pradesh|S01|2935
10|PENTAPATI PULLARAO|Eluru |76481|6|Janasena Party|5.79|346|Andhra Pradesh|S01|76827
10|MATHE. BOBBY|Eluru |1871|7|Republican Party of India (A)|0.14|8|Andhra Pradesh|S01|1879
10|V. SIVA RAMA KRISHNA|Eluru |1261|8|Jana Jagruti Party|0.09|0|Andhra Pradesh|S01|1261
10|ALAGA. RAVI KUMAR|Eluru |1648|9|Independent|0.12|0|Andhra Pradesh|S01|1648
10|Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU)|Eluru |3010|10|Independent|0.23|0|Andhra Pradesh|S01|3010
10|NOTA|Eluru |23861|11|None of the Above|1.8|19|Andhra Pradesh|S01|23880
11|KONAKALLA NARAYANA RAO|Machilipatnam |508570|1|Telugu Desam|41.18|2725|Andhra Pradesh|S01|511295
11|GUDIVAKA RAMANJANEYULU|Machilipatnam |6355|2|Bharatiya Janata Party|0.52|107|Andhra Pradesh|S01|6462
11|GOLLU KRISHNA|Machilipatnam |12207|3|Indian National Congress|0.99|77|Andhra Pradesh|S01|12284
11|BALASHOWRY VALLABHANENI|Machilipatnam |566178|4|Yuvajana Sramika Rythu Congress Party|46.02|5258|Andhra Pradesh|S01|571436
11|PERAM SIVA NAGESWARA RAO|Machilipatnam |3620|5|Republican Party of India (A)|0.29|2|Andhra Pradesh|S01|3622
11|BANDREDDI RAMAKRISHNA|Machilipatnam |112416|6|Janasena Party|9.12|876|Andhra Pradesh|S01|113292
11|YARLAGADDA RAMA MOHANA RAO|Machilipatnam |1016|7|Bahujan Maha Party|0.08|1|Andhra Pradesh|S01|1017
11|VALLURU VENKATESWARA RAO|Machilipatnam |824|8|Pyramid Party of India|0.07|2|Andhra Pradesh|S01|826
11|GANDHI DHANEKULA|Machilipatnam |846|9|Independent|0.07|0|Andhra Pradesh|S01|846
11|NADAKUDITI NAGA GAYATHRI|Machilipatnam |771|10|Independent|0.06|2|Andhra Pradesh|S01|773
11|GUDIVAKA VENKATA NAGA BASAVA RAO|Machilipatnam |895|11|Independent|0.07|1|Andhra Pradesh|S01|896
11|VIJAYA LAKSHMI CHALAPAKA|Machilipatnam |4766|12|Independent|0.38|13|Andhra Pradesh|S01|4779
11|NOTA|Machilipatnam |14043|13|None of the Above|1.13|34|Andhra Pradesh|S01|14077
12|KILARU DILEEP|Vijayawada|18411|1|Bharatiya Janata Party|1.45|93|Andhra Pradesh|S01|18504
12|KESINENI SRINIVAS (NANI)|Vijayawada|573929|2|Telugu Desam|45.04|1569|Andhra Pradesh|S01|575498
12|NARAHARISETTY. NARASIMHARAO.|Vijayawada|16204|3|Indian National Congress|1.27|57|Andhra Pradesh|S01|16261
12|POTLURI.V.PRASAD ( P V P )|Vijayawada|564174|4|Yuvajana Sramika Rythu Congress Party|44.36|2598|Andhra Pradesh|S01|566772
12|ANDUKURI VIJAYA BHASKAR|Vijayawada|2457|5|India Praja Bandhu Party|0.19|0|Andhra Pradesh|S01|2457
12|DATLA LURDU MARY|Vijayawada|433|6|Mundadugu Praja Party|0.03|1|Andhra Pradesh|S01|434
12|PADALA SIVA PRASAD|Vijayawada|480|7|Navarang Congress Party|0.04|0|Andhra Pradesh|S01|480
12|Muttamsetty Prasad babu|Vijayawada|81416|8|Janasena Party|6.39|234|Andhra Pradesh|S01|81650
12|SEKHAR|Vijayawada|683|9|Pyramid Party of India|0.05|2|Andhra Pradesh|S01|685
12|Sk. Riyaz|Vijayawada|412|10|Indian Union Muslim League|0.03|0|Andhra Pradesh|S01|412
12|ANIL KUMAR MADDINENI|Vijayawada|1049|11|Independent|0.08|0|Andhra Pradesh|S01|1049
12|DHANEKULA GANDHI|Vijayawada|687|12|Independent|0.05|1|Andhra Pradesh|S01|688
12|NANDINI NALLAGHATLA|Vijayawada|951|13|Independent|0.07|2|Andhra Pradesh|S01|953
12|BOLISETTY HARI BABU|Vijayawada|1739|14|Independent|0.14|0|Andhra Pradesh|S01|1739
12|MOHAMMAD ISHAQ|Vijayawada|1218|15|Independent|0.1|0|Andhra Pradesh|S01|1218
12|NOTA|Vijayawada|8889|16|None of the Above|0.7|22|Andhra Pradesh|S01|8911
13|Jayadev Galla|Guntur|586292|1|Telugu Desam|43.5|1626|Andhra Pradesh|S01|587918
13|Jayaprakash Narayana Valluru|Guntur|11667|2|Bharatiya Janata Party|0.88|174|Andhra Pradesh|S01|11841
13|Modugula Venugopala Reddy|Guntur|580840|3|Yuvajana Sramika Rythu Congress Party|43.19|2873|Andhra Pradesh|S01|583713
13|Shaik Mastanvali|Guntur|14124|4|Indian National Congress|1.05|81|Andhra Pradesh|S01|14205
13|Araveti Hazarath Rao|Guntur|808|5|Pyramid Party of India|0.06|2|Andhra Pradesh|S01|810
13|Ullagi David Jayakumar|Guntur|447|6|Hardam Manavtawadi Rashtriya Dal|0.03|0|Andhra Pradesh|S01|447
13|Jeldi Raja Mohan|Guntur|437|7|All India Praja Party|0.03|0|Andhra Pradesh|S01|437
13|Nagaraju Ekula|Guntur|920|8|Republican Party of India (A)|0.07|0|Andhra Pradesh|S01|920
13|Bonaboyina Srinivasa Rao|Guntur|128746|9|Janasena Party|9.56|459|Andhra Pradesh|S01|129205
13|Mannava Hariprasad|Guntur|3212|10|Communist Party of India (Marxist-Leninist) Red Star|0.24|4|Andhra Pradesh|S01|3216
13|Ramarao Simhadri|Guntur|1744|11|Praja Shanthi Party|0.13|2|Andhra Pradesh|S01|1746
13|Jacob Vidyasagar Nakka|Guntur|639|12|Viduthalai Chiruthaigal Katchi|0.05|2|Andhra Pradesh|S01|641
13|Sarabandi Raju Sikhinam|Guntur|1015|13|Indian Labour Party (Ambedkar Phule)|0.08|2|Andhra Pradesh|S01|1017
13|Shaik Jaleel|Guntur|560|14|Navarang Congress Party|0.04|3|Andhra Pradesh|S01|563
13|Samudrala Chinna Kotaiah|Guntur|628|15|National Dalitha Dhal Party|0.05|0|Andhra Pradesh|S01|628
13|Umar Basha Shaik|Guntur|2676|16|Independent|0.2|0|Andhra Pradesh|S01|2676
13|Dasari Kiran Babu|Guntur|2907|17|Independent|0.22|2|Andhra Pradesh|S01|2909
13|Doppalapudi Veera Das|Guntur|629|18|Independent|0.05|0|Andhra Pradesh|S01|629
13|Yanamadala Venkata Suresh|Guntur|1947|19|Independent|0.14|0|Andhra Pradesh|S01|1947
13|NOTA|Guntur|5972|20|None of the Above|0.44|34|Andhra Pradesh|S01|6006
14|KANNA LAKSHMI NARAYANA|Narasaraopet|15237|1|Bharatiya Janata Party|1.08|231|Andhra Pradesh|S01|15468
14|PAKKALA SURIBABU|Narasaraopet|10976|2|Indian National Congress|0.77|56|Andhra Pradesh|S01|11032
14|RAYAPATI SAMBASIVARAO|Narasaraopet|588900|3|Telugu Desam|41.12|2211|Andhra Pradesh|S01|591111
14|LAVU SRI KRISHNA DEVARAYALU|Narasaraopet|740041|4|Yuvajana Sramika Rythu Congress Party|51.83|5048|Andhra Pradesh|S01|745089
14|ALLU VENKATAREDDY|Narasaraopet|2892|5|Pyramid Party of India|0.2|4|Andhra Pradesh|S01|2896
14|KANAKAM SRINIVASARAO|Narasaraopet|1065|6|National Nava Kranthi Party|0.07|4|Andhra Pradesh|S01|1069
14|NAYUB KAMAL SHAIK|Narasaraopet|50518|7|Janasena Party|3.53|295|Andhra Pradesh|S01|50813
14|SURABHI DEVASAHAYAM|Narasaraopet|423|8|Indian Union Muslim League|0.03|0|Andhra Pradesh|S01|423
14|KANTE SAYANNA|Narasaraopet|365|9|Independent|0.03|1|Andhra Pradesh|S01|366
14|GADDALA VENU|Narasaraopet|623|10|Independent|0.04|3|Andhra Pradesh|S01|626
14|DURGAMPUDI RAMIREDDY|Narasaraopet|2683|11|Independent|0.19|1|Andhra Pradesh|S01|2684
14|PARIMI NARASIMHA RAO|Narasaraopet|999|12|Independent|0.07|2|Andhra Pradesh|S01|1001
14|REDDYBOINA PRASANNA KUMAR|Narasaraopet|1394|13|Independent|0.1|1|Andhra Pradesh|S01|1395
14|NOTA|Narasaraopet|13664|14|None of the Above|0.95|38|Andhra Pradesh|S01|13702
15|CHALLAGALI KISHORE KUMAR|Bapatla |9842|1|Bharatiya Janata Party|0.82|509|Andhra Pradesh|S01|10351
15|K. DEVANAND|Bapatla |42262|2|Bahujan Samaj Party|3.36|318|Andhra Pradesh|S01|42580
15|NANDIGAM SURESH|Bapatla |592250|3|Yuvajana Sramika Rythu Congress Party|47.24|6007|Andhra Pradesh|S01|598257
15|MALYADRI SRIRAM|Bapatla |577403|4|Telugu Desam|45.97|4789|Andhra Pradesh|S01|582192
15|J.D. SEELAM|Bapatla |12941|5|Indian National Congress|1.04|214|Andhra Pradesh|S01|13155
15|KUMAR KATTEPOGU|Bapatla |877|6|Pyramid Party of India|0.07|8|Andhra Pradesh|S01|885
15|GADDE HARI BABU|Bapatla |521|7|Navodayam Party|0.04|9|Andhra Pradesh|S01|530
15|CHINA NAGESWARA RAO SADHU|Bapatla |463|8|Mundadugu Praja Party|0.04|3|Andhra Pradesh|S01|466
